"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","comparison","gene_direction","source"
"GO:0070482","response to oxygen levels","74/2423","358/18986",0.206703910614525,1.61967826947065,4.52727809365506,1.56643005495258e-05,0.000356673167984296,0.000272904159722821,"10631/5366/2043/7852/8140/7040/2185/1909/28984/51129/3091/5163/4017/18/7412/4851/6513/360/101/5328/5291/7037/5423/29923/4204/867/80315/7124/5770/8994/3708/6548/4929/2308/5352/28996/5165/2033/472/7351/1387/3709/1277/596/6095/9839/1374/6868/7057/10533/26355/378938/2022/1386/9520/5885/22933/2034/6885/3163/4089/23256/5371/6722/7248/54583/7422/2023/4088/9550/2309/207/664/8678",74,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0042149","cellular response to glucose starvation","18/2423","49/18986",0.36734693877551,2.87843540222527,5.03559996608004,1.70981770361623e-05,0.000387858647504523,0.00029676535211954,"5366/8140/7378/143686/6513/80315/596/7534/3178/7532/51422/27244/51100/55846/83667/2309/23378/8678",18,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0007015","actin filament organization","91/2423","465/18986",0.195698924731183,1.53344605239217,4.45448266379197,1.75191252132396e-05,0.000395919106878981,0.000302932715100607,"1236/9026/399/3071/7430/342184/10788/1901/2185/3936/57580/5341/8477/199/4542/80774/3059/26999/4739/28984/9535/9938/79585/10602/133746/23370/8440/1785/57553/9051/7454/54509/23406/64005/7273/673/30011/85464/51466/123720/6548/7456/9844/5734/9645/829/5921/23332/9873/4644/11151/8452/10006/10565/253260/5880/1265/3925/596/7170/10109/9839/10458/3717/55761/6385/29766/10152/961/9181/55909/8826/832/4642/6722/7248/23325/5339/7114/6840/26258/4430/10094/4088/6624/87/93663/55704/9564/4646/9897",91,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0035966","response to topologically incorrect protein","40/2423","160/18986",0.25,1.9589352042922,4.65889297329442,1.79579708730354e-05,0.000404322374059313,0.000309362373327311,"3310/10347/10808/79668/3337/8440/64224/3329/3303/5770/54870/2081/3308/5771/8452/3320/57724/9695/3301/3336/51366/595/79871/9531/9217/7057/3326/57414/79982/10133/55284/267/202052/27230/8720/51283/55161/3300/55658/27348",40,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0019058","viral life cycle","68/2423","323/18986",0.210526315789474,1.64962964571975,4.50390141372271,1.8384484839989e-05,0.000412386548418192,0.000315532578783767,"3576/7293/940/8638/7852/6404/10663/56829/79720/6504/26986/286827/4851/6352/3304/9683/60489/920/8673/7037/4864/3669/89853/3303/867/55054/7124/3123/972/156/9636/64135/10318/55196/11060/9213/4599/83737/3609/1656/596/9235/3685/9217/6993/3326/1655/3839/3688/23367/5094/3383/10015/23272/7879/5586/128637/29082/7706/55207/290/85363/1508/1642/10346/5481/9525/81559",68,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0070665","positive regulation of leukocyte proliferation","41/2423","166/18986",0.246987951807229,1.93533357532482,4.62938463291826,1.93555137024527e-05,0.000432559887705923,0.000330967965298079,"3553/7293/940/923/3559/5788/1880/3071/5588/84433/10451/283234/199/64926/7535/6480/57162/6504/6693/6777/7412/6352/8440/7037/916/972/959/3485/11151/63925/5880/596/3105/4773/3717/9093/58515/10673/6929/8767/57181",41,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0016447","somatic recombination of immunoglobulin gene segments","21/2423","63/18986",0.333333333333333,2.61191360572293,4.90150610591388,1.98082466317351e-05,0.000441044133490368,0.000337459583324103,"940/30009/5788/9466/7040/1235/7037/10538/5423/3329/7468/959/165918/6830/5130/80762/6929/7528/4437/7518/51111",21,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0042100","B cell proliferation","27/2423","92/18986",0.293478260869565,2.29961958764737,4.77926061451555,1.98982036792984e-05,0.000441418238973848,0.000337745825609144,"7293/1493/3635/5788/3575/1880/3071/10125/51176/22806/84433/10451/7305/1029/57162/7037/3329/972/959/472/596/4773/5130/10673/6929/5585/57181",27,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0072331","signal transduction by p53 class mediator","44/2423","183/18986",0.240437158469945,1.88400325658703,4.59598225943888,2.01215483257222e-05,0.000444737811712117,0.000340285756532168,"283385/5366/5527/23368/1029/55544/7994/133746/1859/10538/6446/117584/204851/960/972/8805/149628/28996/2033/7159/9958/472/6224/6672/596/8725/1655/10210/6794/6167/5371/387893/83667/22938/2272/29965/57646/2309/51741/207/3094/23378/7314/4646",44,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0045060","negative thymic T cell selection","8/2423","12/18986",0.666666666666667,5.22382721144587,5.59796044621426,2.13587130505569e-05,0.000466989489517771,0.000357311358621311,"1236/940/5788/1794/7535/6693/916/972",8,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0070672","response to interleukin-15","8/2423","12/18986",0.666666666666667,5.22382721144587,5.59796044621426,2.13587130505569e-05,0.000466989489517771,0.000357311358621311,"3560/3718/3561/6777/920/6776/6774/3716",8,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0070646","protein modification by small protein removal","32/2423","118/18986",0.271186440677966,2.12494666228306,4.6883768002484,2.13604738327651e-05,0.000466989489517771,0.000357311358621311,"7128/9960/1540/57602/90268/57337/10868/57695/205564/9929/10318/8287/8239/9958/83737/9736/55031/23032/9101/10600/27351/51377/9318/26054/7347/23326/64854/85015/57646/3094/3300/10713",32,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0016445","somatic diversification of immunoglobulins","22/2423","68/18986",0.323529411764706,2.53509261731932,4.85024789348234,2.1592438012229e-05,0.000470356573883718,0.000359887642491493,"940/30009/5788/9466/7040/1235/7037/10538/5423/3329/7468/959/165918/6830/5130/56259/80762/6929/7528/4437/7518/51111",22,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0007160","cell-matrix adhesion","54/2423","241/18986",0.224066390041494,1.7557261582038,4.51588382341177,2.17178788840001e-05,0.000471387342395887,0.000360676322549127,"10631/1236/5795/342184/10225/3676/2185/64098/1029/8631/3683/7412/59339/3655/5328/2335/5291/8573/3689/916/3672/1021/960/7074/83706/123720/6548/10420/613/5921/23332/2824/8874/7402/2932/23499/596/3685/3987/7057/51057/6385/3688/9748/6722/5786/7248/5728/7422/4088/1281/57669/87/83700",54,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0002709","regulation of T cell mediated immunity","30/2423","108/18986",0.277777777777778,2.17659467143578,4.69000462473227,2.31204597966493e-05,0.000500031736247246,0.000382593233986431,"3553/924/30009/5788/2625/3575/3071/259307/7133/6504/6693/8809/10892/10865/3122/4092/7454/3329/3123/7186/163486/3134/22890/3106/3105/567/7532/6885/84861/3140",30,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0051054","positive regulation of DNA metabolic process","63/2423","295/18986",0.213559322033898,1.67339549654791,4.45838381812482,2.32389824471059e-05,0.000500800071735132,0.00038318111659025,"2069/940/30009/5788/5588/7040/2185/23347/28984/57162/25865/10926/7037/7454/2643/6599/11177/7468/7124/80169/196528/140609/26122/165918/3320/84250/472/80314/1387/11124/57492/2521/3178/55257/25913/51149/5073/10575/11232/3181/55719/466/51377/7334/5371/7528/5514/125476/58525/7486/29117/1736/7422/54386/9275/26354/207/27154/1545/51548/55658/51111/83933",63,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:2000404","regulation of T cell migration","18/2423","50/18986",0.36,2.82086669418077,4.93096067283291,2.35479200838783e-05,0.000505651778598297,0.000386893341404345,"6364/969/9466/3676/9750/199/1235/6693/81704/6352/101/65125/23143/11151/9943/27347/6868/58515",18,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0042147","retrograde transport, endosome to Golgi","29/2423","103/18986",0.281553398058252,2.20617945337762,4.69469679609522,2.38186709970709e-05,0.000507851098220233,0.000388576124207376,"374403/92241/7109/63893/8729/9648/5870/51272/84910/9043/55773/79735/51026/80148/9367/51479/7879/6642/9779/9559/51542/55207/58533/9527/10490/23258/9581/55658/10652",29,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0150115","cell-substrate junction organization","29/2423","103/18986",0.281553398058252,2.20617945337762,4.69469679609522,2.38186709970709e-05,0.000507851098220233,0.000388576124207376,"5795/342184/2185/10982/3655/2335/9922/123720/6548/10420/613/23332/2824/8874/23499/596/3987/7057/51057/6385/9748/5786/7248/5339/5728/7422/4088/57669/87",29,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0032609","type II interferon production","33/2423","124/18986",0.266129032258065,2.08531812069815,4.63752787795304,2.4388699799966e-05,0.000516355840677174,0.000395083425014407,"1236/3595/3553/5142/22914/7294/26191/2625/8140/56253/10225/914/9466/6556/7805/10666/6504/8809/10865/3329/916/7124/3123/9636/11119/5144/929/3105/5914/3717/961/8767/161882",33,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0032649","regulation of type II interferon production","33/2423","124/18986",0.266129032258065,2.08531812069815,4.63752787795304,2.4388699799966e-05,0.000516355840677174,0.000395083425014407,"1236/3595/3553/5142/22914/7294/26191/2625/8140/56253/10225/914/9466/6556/7805/10666/6504/8809/10865/3329/916/7124/3123/9636/11119/5144/929/3105/5914/3717/961/8767/161882",33,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0071383","cellular response to steroid hormone stimulus","49/2423","213/18986",0.230046948356808,1.80258826310456,4.50534728152841,2.47991029026537e-05,0.000523209045155988,0.000400327071516522,"2100/7040/81606/3304/56937/1407/4864/3065/6446/27086/3303/4306/23081/114907/23019/8013/9667/2033/6198/3301/64754/2908/51366/6294/3192/3275/1977/8725/9101/3717/7181/2288/1655/79039/7337/29966/11057/8648/5585/51542/2101/54206/9325/6879/2931/2309/9612/1545/10521",49,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0002699","positive regulation of immune effector process","59/2423","272/18986",0.216911764705882,1.69966436843,4.44532382975605,2.58200834141757e-05,0.000542851509829743,0.000415356265742067,"3553/7293/924/940/23705/22914/30009/5788/7409/2625/10125/84807/8140/56253/7040/7305/4068/7805/10666/6504/8809/6777/10892/10865/3458/3122/8673/3902/7037/3689/3329/399687/3566/7468/7124/3123/972/7186/8013/9261/2033/163486/23476/3134/22890/3106/3105/567/5914/7532/8723/2821/55198/6885/9188/84861/8767/3140/51111",59,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0046824","positive regulation of nucleocytoplasmic transport","21/2423","64/18986",0.328125,2.57110245563351,4.81530147194357,2.59648906371105e-05,0.000544000521195572,0.000416235417888767,"3553/7040/3059/3458/5663/2033/3320/2932/51366/9531/10657/3717/22916/7531/7175/23435/5494/4088/1432/55696/51548",21,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0006470","protein dephosphorylation","37/2423","146/18986",0.253424657534247,1.98576993311812,4.57324062945349,2.64509967436266e-05,0.000552267523706032,0.000422560814851745,"1846/27071/1844/5795/26191/5788/80824/11221/5527/5778/5791/8556/1850/9150/1847/5500/5775/5525/85464/5533/5770/5771/160760/5495/80895/5496/6794/9989/5797/5494/5786/150290/5728/8073/5780/55917/994",37,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0007173","epidermal growth factor receptor signaling pathway","31/2423","114/18986",0.271929824561404,2.13077162572134,4.6315981402667,2.6918048652299e-05,0.000560081053682663,0.000428539242791229,"2069/79651/9026/5795/7040/2185/57732/8527/8440/374/3672/673/89853/867/5663/5771/55914/6654/6868/5329/6464/7879/8826/23636/58533/54206/207/55704/9564/55658/92799",31,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0006278","RNA-templated DNA biosynthetic process","22/2423","69/18986",0.318840579710145,2.49835214460454,4.76897245618954,2.79118202431009e-05,0.000576780559407093,0.000441316667578373,"2643/64282/80169/140609/3320/3183/54464/472/3192/3178/25913/5981/5073/10575/5394/3326/100134934/5371/54984/1736/54386/55226",22,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0010803","regulation of tumor necrosis factor-mediated signaling pathway","22/2423","69/18986",0.318840579710145,2.49835214460454,4.76897245618954,2.79118202431009e-05,0.000576780559407093,0.000441316667578373,"7128/7805/4982/841/3304/1540/114769/117584/22900/3303/90268/204851/7186/5771/9261/3551/6868/2874/56928/23405/142678/8904",22,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0042102","positive regulation of T cell proliferation","29/2423","104/18986",0.278846153846154,2.18496618940284,4.63458806276185,2.90475859945018e-05,0.000598201822152982,0.000457706887630267,"3553/940/923/3559/5788/3071/5588/84433/283234/199/64926/7535/6504/6693/6777/7412/6352/8440/7037/916/959/3485/11151/3105/3717/9093/58515/10673/8767",29,"STA_vs_Ruptured_de_novo","down","GO_BP"
