"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","comparison","gene_direction","source"
"GO:2000107","negative regulation of leukocyte apoptotic process","8/142","57/18986",0.140350877192982,18.7655053125772,11.6604170070763,9.73952085148652e-09,4.94037195191654e-07,3.90862349960972e-07,"1236/1234/6480/939/3718/5588/6352/3575",8,"STA_vs_Unruptured","down","GO_BP"
"GO:0045619","regulation of lymphocyte differentiation","13/142","223/18986",0.0582959641255605,7.79441672456262,8.85964657363339,1.307280714595e-08,6.46944529247137e-07,5.11836480040405e-07,"729230/814/22806/864/3561/939/3718/3071/6932/914/5788/3575/10538",13,"STA_vs_Unruptured","down","GO_BP"
"GO:0030593","neutrophil chemotaxis","9/142","85/18986",0.105882352941176,14.156917978459,10.5531998887205,1.44229713934123e-08,6.96766879934131e-07,5.51253919171772e-07,"1236/719/7409/3576/5142/5293/3071/120425/3627",9,"STA_vs_Unruptured","down","GO_BP"
"GO:0032946","positive regulation of mononuclear cell proliferation","11/142","148/18986",0.0743243243243243,9.93747620860297,9.47526326168006,1.47819458193182e-08,6.9750158296271e-07,5.51835186645292e-07,"6693/729230/6480/1880/11151/923/3071/5588/5788/6352/916",11,"STA_vs_Unruptured","down","GO_BP"
"GO:0002407","dendritic cell chemotaxis","6/142","24/18986",0.25,33.4260563380282,13.7981419282671,1.89626206828948e-08,8.55003497013191e-07,6.76444363541862e-07,"1236/1234/7852/729230/1880/6352",6,"STA_vs_Unruptured","down","GO_BP"
"GO:0045061","thymic T cell selection","6/142","24/18986",0.25,33.4260563380282,13.7981419282671,1.89626206828948e-08,8.55003497013191e-07,6.76444363541862e-07,"1236/6693/917/915/5788/916",6,"STA_vs_Unruptured","down","GO_BP"
"GO:0045580","regulation of T cell differentiation","12/142","191/18986",0.06282722513089,8.40026546714844,8.92289419022486,2.11599847130346e-08,9.33339325711894e-07,7.38420519161961e-07,"729230/814/864/3561/939/3718/3071/6932/914/5788/3575/10538",12,"STA_vs_Unruptured","down","GO_BP"
"GO:0033077","T cell differentiation in thymus","9/142","89/18986",0.101123595505618,13.520652001899,10.2775226341608,2.17103521777334e-08,9.37240522736617e-07,7.41506989273088e-07,"1236/6693/814/3561/917/915/5788/916/3575",9,"STA_vs_Unruptured","down","GO_BP"
"GO:0043383","negative T cell selection","5/142","13/18986",0.384615384615385,51.4247020585049,15.7873755012413,2.67434933341571e-08,1.11358706574409e-06,8.81025278337646e-07,"1236/6693/387357/5788/916",5,"STA_vs_Unruptured","down","GO_BP"
"GO:0071887","leukocyte apoptotic process","10/142","122/18986",0.0819672131147541,10.9593627337797,9.57982326228149,2.68929355453229e-08,1.11358706574409e-06,8.81025278337646e-07,"1236/1234/6480/939/3718/917/5293/5588/6352/3575",10,"STA_vs_Unruptured","down","GO_BP"
"GO:0035710","CD4-positive, alpha-beta T cell activation","10/142","129/18986",0.0775193798449612,10.3646686319467,9.2643273938045,4.59015538826048e-08,1.82616182015304e-06,1.44478575172285e-06,"6693/864/3561/6775/3718/1880/3071/5588/916/10538",10,"STA_vs_Unruptured","down","GO_BP"
"GO:0071621","granulocyte chemotaxis","10/142","129/18986",0.0775193798449612,10.3646686319467,9.2643273938045,4.59015538826048e-08,1.82616182015304e-06,1.44478575172285e-06,"1236/719/7409/3576/5142/5293/3071/120425/3627/6352",10,"STA_vs_Unruptured","down","GO_BP"
