"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comparison","group_col","ident_1","ident_2","direction"
"AL157944.1",3.30304519583871e-11,-7.29448056105924,0.004,0.167,1.00660302343185e-06,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"RNF125",4.49048284498511e-11,-5.38033520136803,0.033,0.5,1.36847464700921e-06,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"ARHGAP45",6.25081917265478e-11,-6.37595918756553,0.015,0.333,1.90493714286654e-06,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"TERB1",6.6793597571013e-11,-7.4678875658744,0.004,0.167,2.03553488597662e-06,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"MYO16",7.39373176884735e-11,-5.55048762153281,0.004,0.167,2.25323975655623e-06,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"CD3D",7.5720138138627e-11,-4.72610895796728,0.032,0.5,2.30757120977466e-06,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"RBFOX1",1.02580325193301e-10,-4.76045821942825,0.015,0.333,3.12613541026585e-06,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"IGLC2",1.29643980948205e-10,-8.09228829640278,0.004,0.167,3.95090031939655e-06,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"MPZL3",1.66825758898019e-10,-3.97544576632393,0.015,0.333,5.08401500241712e-06,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"CD247",3.56147508498348e-10,-4.77882820390917,0.036,0.5,1.08535953214872e-05,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"SRGN",3.82463006853782e-10,-3.42222783884274,0.099,0.833,1.1655560133869e-05,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"MS4A4A",4.67341153893808e-10,-6.18986690138772,0.004,0.167,1.42422216649138e-05,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
