"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comparison","group_col","ident_1","ident_2","direction"
"ADAM32",2.97329107370393e-06,1.24303192937872,0.058,0.023,0.0906110454711271,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"ZNF431",2.97805697863295e-06,-0.762155296538306,0.126,0.175,0.090756286423839,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"SIAE",3.02224159848566e-06,0.989443806495202,0.05,0.017,0.0921028127138506,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"THOC5",3.03388820090942e-06,0.875696802838953,0.07,0.031,0.0924577429227145,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"CEP63",3.04142068381232e-06,0.174630838613092,0.218,0.148,0.0926872953391805,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"FHOD1",3.14227181012707e-06,-1.31564081453981,0.038,0.068,0.0957607334136223,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"SNHG21",3.14522352845029e-06,1.14422032936286,0.063,0.026,0.0958506870295225,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"COG2",3.17809292148275e-06,0.505623233846891,0.119,0.068,0.0968523817821868,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"IPO7",3.19683532068815e-06,-0.725589281612274,0.252,0.299,0.0974235563979714,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"ATP2A2",3.25923145978756e-06,-0.767192005504924,0.307,0.351,0.099325078737026,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"KRBOX4",3.26531110833471e-06,0.804249069686175,0.12,0.07,0.0995103560265004,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"SLC9A8",3.4267302790015e-06,-0.943392647376665,0.084,0.126,0.104429605252571,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"RIDA",3.43249909005738e-06,1.21441737402389,0.073,0.034,0.104605409769499,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"SLC38A2",3.43372552935558e-06,-0.30939537441489,0.724,0.745,0.104642785507111,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"KIAA0753",3.43766444050042e-06,0.847322453751135,0.065,0.028,0.10476282382425,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"A1BG",3.46934114285995e-06,-0.455612727943314,0.117,0.169,0.105728171328657,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"DDX39A",3.47160608408183e-06,-0.645913557596916,0.196,0.248,0.105797195412394,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"IKBKG",3.48176132756284e-06,0.321956566668113,0.128,0.076,0.106106676457478,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"LINC00339",3.49481096044727e-06,1.4382535161427,0.058,0.023,0.106504364019631,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"ATP6V1C1",3.53713492267615e-06,0.331207977397772,0.162,0.104,0.107794186768556,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"MMP24",3.54683684795824e-06,-1.25702507744058,0.041,0.072,0.108089852941527,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"SHOC1",3.55935204788016e-06,1.1325333750558,0.052,0.019,0.108471253659148,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"MPV17L2",3.5791180219014e-06,1.21143414128903,0.06,0.025,0.109073621717445,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
