"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comparison","group_col","ident_1","ident_2","direction"
"PITPNB",1.64364769391364e-22,-0.380121116062387,0.378,0.22,5.00901634720181e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_Ruptured_de_novo"
"MAB21L1",1.6780394126713e-22,5.78957075804742,0.051,0.002,5.1138251101158e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"CASP7",1.71204574721106e-22,0.168440937051618,0.126,0.046,5.21745941462572e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"AC002546.1",1.82338843123975e-22,3.78437396058564,0.052,0.002,5.55677624420313e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"TTLL11",1.85909792972071e-22,3.28664038504051,0.06,0.006,5.66560094082385e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"AC080038.1",1.86665469225765e-22,2.73384255114655,0.057,0.005,5.6886301746552e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"DGKA",1.86821610298619e-22,-2.00024642707262,0.07,0.133,5.69338857385043e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_Ruptured_de_novo"
"SPAG1",1.90215827826797e-22,-2.30196243622082,0.103,0.171,5.79682735302164e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_Ruptured_de_novo"
"HNRNPLL",1.92311287089134e-22,-2.06068851934004,0.178,0.247,5.86068647404137e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_Ruptured_de_novo"
"AC008443.5",1.93797028818688e-22,1.37556498182845,0.064,0.008,5.90596445324951e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"FKTN",1.95381625715035e-22,0.753319073299683,0.096,0.027,5.95425504366569e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"BX284613.2",1.98504001482634e-22,2.56626025915877,0.056,0.004,6.04940944518326e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"CXCL2",2.12699773762338e-22,-1.75999719556958,0.141,0.215,6.48202560540725e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_Ruptured_de_novo"
"HSPA13",2.1883984074965e-22,0.116893219109441,0.173,0.079,6.66914414684558e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"EGFL7",2.31071828372474e-22,2.62141592761823,0.058,0.005,7.04191396965115e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"METTL23",2.35928982672634e-22,-0.167971200380802,0.254,0.137,7.18993574694851e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_Ruptured_de_novo"
"NCS1",2.39028282271629e-22,0.387664882691864,0.114,0.038,7.2843869022279e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"GTPBP10",2.44949073872447e-22,0.480882850876842,0.142,0.058,7.46482302626281e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"MINDY1",2.52269152337069e-22,1.48311179705824,0.065,0.009,7.68790241747219e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"BLOC1S6",2.56252237104755e-22,-0.275227364164844,0.293,0.164,7.8092869257674e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_Ruptured_de_novo"
"PREPL",2.61365352374056e-22,-0.153536483326758,0.238,0.124,7.96510911359935e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_Ruptured_de_novo"
"DOLK",2.63996056795741e-22,2.02157479429403,0.063,0.008,8.0452798308502e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"SHMT1",2.68472047594066e-22,1.17032035330295,0.078,0.017,8.18168565042916e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"MIIP",2.70684144756521e-22,0.713686543510397,0.089,0.023,8.24909931145498e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"PRPF19",2.78539172989536e-22,0.51934719226419,0.117,0.041,8.48848129685612e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"MARK1",2.78944215249741e-22,1.9106908810022,0.061,0.007,8.50082495973585e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"SRA1",2.79655609014887e-22,-0.310483110229134,0.301,0.169,8.52250468472868e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_Ruptured_de_novo"
"COMTD1",2.80125106559439e-22,0.619610858269702,0.106,0.034,8.5368126223989e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"ATAD2",2.91373426804679e-22,-2.12702326364153,0.076,0.141,8.87960518187258e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_Ruptured_de_novo"
"AL390957.1",2.9544932022544e-22,-2.47748246226356,0.03,0.076,9.00381803387029e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_Ruptured_de_novo"
"SPNS1",2.95944840049635e-22,0.677669793905503,0.104,0.033,9.01891900051262e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"MXRA5",3.02380786766355e-22,1.09364489373146,0.072,0.013,9.21505447670467e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"DHRS12",3.04366757649276e-22,0.644336428895838,0.107,0.035,9.27557693936168e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"AIMP2",3.06299311238785e-22,0.547086390972972,0.114,0.039,9.33447151000196e-18,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
