"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","target_gene","source"
"GO:1900151","regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","3/137","23/18986",0.130434782608696,18.0761662964138,6.98589732174361,0.000585614150242783,0.0280984298880641,0.0240410019573353,"26986/23112/27161",3,"SIRT1","GO_BP"
"GO:0050870","positive regulation of T cell activation","8/137","260/18986",0.0307692307692308,4.26412128017967,4.51805879652032,0.000607217675357678,0.0285954546006403,0.0244662560421895,"10808/6046/1236/7040/864/399/923/1604",8,"SIRT1","GO_BP"
"GO:1902305","regulation of sodium ion transmembrane transport","4/137","54/18986",0.0740740740740741,10.2654771559881,5.81283303611437,0.000620386180339963,0.0286844010291732,0.0245423585600517,"288/483/65125/54800",4,"SIRT1","GO_BP"
"GO:0050852","T cell receptor signaling pathway","6/137","149/18986",0.0402684563758389,5.58056140694655,4.78550089818695,0.000746685740787545,0.0339075328361201,0.0290112674099221,"1236/7430/673/65125/919/7805",6,"SIRT1","GO_BP"
"GO:1902105","regulation of leukocyte differentiation","9/137","337/18986",0.0267062314540059,3.70105482033399,4.2652255463845,0.000770420105256614,0.034371549608203,0.0294082799181056,"6046/7040/864/6655/814/673/399/3659/4092",9,"SIRT1","GO_BP"
"GO:0000288","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","4/137","58/18986",0.0689655172413793,9.55751321419582,5.56455755409212,0.00081396991453775,0.0356883705632672,0.0305349512404633,"246175/26986/23112/27161",4,"SIRT1","GO_BP"
"GO:1903038","negative regulation of leukocyte cell-cell adhesion","6/137","153/18986",0.0392156862745098,5.43466437669959,4.69535189871324,0.000857368836328121,0.0366506908918806,0.0313583120117214,"7040/864/65125/3659/4092/7805",6,"SIRT1","GO_BP"
"GO:0043367","CD4-positive, alpha-beta T cell differentiation","5/137","102/18986",0.0490196078431373,6.79333047087448,5.00152932963789,0.000864743001774611,0.0366506908918806,0.0313583120117214,"6046/864/673/4092/6775",5,"SIRT1","GO_BP"
"GO:0070841","inclusion body assembly","3/137","27/18986",0.111111111111111,15.3982157339822,6.38269765135209,0.000947023220204601,0.0394800008029557,0.033779068095995,"3337/3304/3303",3,"SIRT1","GO_BP"
"GO:0001961","positive regulation of cytokine-mediated signaling pathway","4/137","61/18986",0.0655737704918033,9.08747158071078,5.39363021498584,0.000984630116539806,0.040385715909044,0.0345539974683833,"3304/7852/3303/7805",4,"SIRT1","GO_BP"
"GO:0009408","response to heat","5/137","106/18986",0.0471698113207547,6.53697837763394,4.87355859876573,0.00102826759546945,0.0412785052685782,0.0353178675787616,"3320/3301/3337/3304/3303",5,"SIRT1","GO_BP"
"GO:0002726","positive regulation of T cell cytokine production","3/137","28/18986",0.107142857142857,14.8482794577685,6.2517269609533,0.00105509352829634,0.0412785052685782,0.0353178675787616,"924/10865/1604",3,"SIRT1","GO_BP"
"GO:0039529","RIG-I signaling pathway","3/137","28/18986",0.107142857142857,14.8482794577685,6.2517269609533,0.00105509352829634,0.0412785052685782,0.0353178675787616,"56829/330/54941",3,"SIRT1","GO_BP"
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","8/137","284/18986",0.028169014084507,3.90377300298139,4.20338561839894,0.00107562068116412,0.0414439907909144,0.0354594569053625,"10808/6046/1236/7040/864/399/923/1604",8,"SIRT1","GO_BP"
"GO:0002819","regulation of adaptive immune response","7/137","221/18986",0.0316742081447964,4.38953661194966,4.32099345863688,0.00112779829172755,0.0428058366546741,0.0366246515161171,"6046/7040/924/10865/1604/3659/4092",7,"SIRT1","GO_BP"
"GO:0035872","nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway","3/137","29/18986",0.103448275862069,14.3362698212937,6.1273119949963,0.00117065430926668,0.0431445493980457,0.0369144539626883,"330/3304/3303",3,"SIRT1","GO_BP"
