"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","status","axis","lr_axis","focus_hit"
"Fibroblast","VSMC","LAMC1","ITGA7_ITGB1",0.00112824217043578,0,"LAMC1_ITGA7_ITGB1","LAMC1 - (ITGA7+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512","STA","Fibroblast -> VSMC","LAMC1-ITGA7_ITGB1",TRUE
"Fibroblast","VSMC","COL1A1","CD44",0.00110530137378634,0,"COL1A1_CD44","COL1A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512","STA","Fibroblast -> VSMC","COL1A1-CD44",TRUE
"Fibroblast","VSMC","COL1A1","ITGA1_ITGB1",0.00107547099729054,0,"COL1A1_ITGA1_ITGB1","COL1A1 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512","STA","Fibroblast -> VSMC","COL1A1-ITGA1_ITGB1",TRUE
"Fibroblast","VSMC","COL4A1","CD44",0.0010680970294742,0,"COL4A1_CD44","COL4A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512","STA","Fibroblast -> VSMC","COL4A1-CD44",TRUE
"Fibroblast","VSMC","COL4A1","ITGA1_ITGB1",0.00103924551862275,0,"COL4A1_ITGA1_ITGB1","COL4A1 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512","STA","Fibroblast -> VSMC","COL4A1-ITGA1_ITGB1",TRUE
"Fibroblast","VSMC","COL4A2","CD44",0.00102140337897479,0,"COL4A2_CD44","COL4A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512","STA","Fibroblast -> VSMC","COL4A2-CD44",TRUE
"Fibroblast","VSMC","COL4A2","ITGA1_ITGB1",0.000993782890495052,0,"COL4A2_ITGA1_ITGB1","COL4A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512","STA","Fibroblast -> VSMC","COL4A2-ITGA1_ITGB1",TRUE
"EC","VSMC","MIF","ACKR3",0.00067750185647769,0,"MIF_ACKR3","MIF - ACKR3","MIF","Secreted Signaling","PMID: 26175090","STA","EC -> VSMC","MIF-ACKR3",TRUE
"Fibroblast","VSMC","MIF","ACKR3",0.00061525864401027,0,"MIF_ACKR3","MIF - ACKR3","MIF","Secreted Signaling","PMID: 26175090","STA","Fibroblast -> VSMC","MIF-ACKR3",TRUE
"EC","VSMC","COL4A1","ITGA1_ITGB1",0.000382978987460438,0,"COL4A1_ITGA1_ITGB1","COL4A1 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512","STA","EC -> VSMC","COL4A1-ITGA1_ITGB1",TRUE
"EC","VSMC","COL4A2","ITGA1_ITGB1",0.000360807312675872,0,"COL4A2_ITGA1_ITGB1","COL4A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512","STA","EC -> VSMC","COL4A2-ITGA1_ITGB1",TRUE
"EC","VSMC","LAMC1","ITGA1_ITGB1",0.000336148812101995,0,"LAMC1_ITGA1_ITGB1","LAMC1 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512","STA","EC -> VSMC","LAMC1-ITGA1_ITGB1",TRUE
"Fibroblast","VSMC","LAMB2","CD44",0.000335613320800283,0,"LAMB2_CD44","LAMB2 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512","STA","Fibroblast -> VSMC","LAMB2-CD44",TRUE
"Fibroblast","VSMC","LAMA4","CD44",0.000332649175836937,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512","STA","Fibroblast -> VSMC","LAMA4-CD44",TRUE
