"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","status"
"VSMC","Fibroblast","SPP1","ITGAV_ITGB1",0.000165143945940297,0,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263","STA"
"VSMC","VSMC","SPP1","ITGAV_ITGB5",8.21384480629932e-05,0,"SPP1_ITGAV_ITGB5","SPP1 - (ITGAV+ITGB5)","SPP1","Secreted Signaling","PMID: 21907263","STA"
"VSMC","Fibroblast","SPP1","ITGAV_ITGB5",6.86400952464056e-05,0,"SPP1_ITGAV_ITGB5","SPP1 - (ITGAV+ITGB5)","SPP1","Secreted Signaling","PMID: 21907263","STA"
"VSMC","EC","SPP1","ITGA9_ITGB1",0.000202028579330587,0,"SPP1_ITGA9_ITGB1","SPP1 - (ITGA9+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263","STA"
"VSMC","VSMC","SPP1","ITGA8_ITGB1",0.000251865438645391,0,"SPP1_ITGA8_ITGB1","SPP1 - (ITGA8+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263","STA"
"VSMC","EC","SPP1","ITGA5_ITGB1",0.000355976407924352,0,"SPP1_ITGA5_ITGB1","SPP1 - (ITGA5+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263","STA"
"VSMC","EC","NAMPT","ITGA5_ITGB1",0.0016889770482181,0,"NAMPT_ITGA5_ITGB1","NAMPT - (ITGA5+ITGB1)","VISFATIN","Secreted Signaling","PMID: 28490838","STA"
"Macrophage","EC","NAMPT","ITGA5_ITGB1",0.00502431347616063,0,"NAMPT_ITGA5_ITGB1","NAMPT - (ITGA5+ITGB1)","VISFATIN","Secreted Signaling","PMID: 28490838","STA"
"EC","EC","NAMPT","ITGA5_ITGB1",0.00174647589053203,0,"NAMPT_ITGA5_ITGB1","NAMPT - (ITGA5+ITGB1)","VISFATIN","Secreted Signaling","PMID: 28490838","STA"
"Fibroblast","EC","NAMPT","ITGA5_ITGB1",0.00177189833486051,0,"NAMPT_ITGA5_ITGB1","NAMPT - (ITGA5+ITGB1)","VISFATIN","Secreted Signaling","PMID: 28490838","STA"
"VSMC","VSMC","ANGPTL1","ITGA1_ITGB1",0.000158836935270325,0,"ANGPTL1_ITGA1_ITGB1","ANGPTL1 - (ITGA1+ITGB1)","ANGPTL","Secreted Signaling","PMID: 24478758","STA"
"Fibroblast","VSMC","ANGPTL1","ITGA1_ITGB1",0.000276174451660347,0,"ANGPTL1_ITGA1_ITGB1","ANGPTL1 - (ITGA1+ITGB1)","ANGPTL","Secreted Signaling","PMID: 24478758","STA"
"VSMC","EC","ANGPTL1","ITGA1_ITGB1",0.000118923215798903,0,"ANGPTL1_ITGA1_ITGB1","ANGPTL1 - (ITGA1+ITGB1)","ANGPTL","Secreted Signaling","PMID: 24478758","STA"
"Fibroblast","EC","ANGPTL1","ITGA1_ITGB1",0.00020691946439903,0,"ANGPTL1_ITGA1_ITGB1","ANGPTL1 - (ITGA1+ITGB1)","ANGPTL","Secreted Signaling","PMID: 24478758","STA"
"VSMC","Macrophage","ANGPTL1","LILRB3",4.0764129950156e-05,0,"ANGPTL1_PIRB","ANGPTL1 - PIRB","ANGPTL","Secreted Signaling","PMID: 24478758","STA"
"Fibroblast","Macrophage","ANGPTL1","LILRB3",7.10241814120439e-05,0,"ANGPTL1_PIRB","ANGPTL1 - PIRB","ANGPTL","Secreted Signaling","PMID: 24478758","STA"
"VSMC","EC","ANGPT1","TEK",7.64113825676064e-05,0,"ANGPT1_TEK","ANGPT1 - TEK","ANGPT","Secreted Signaling","PMID: 20651738","STA"
"EC","VSMC","MDK","SDC2",0.000144342789645549,0,"MDK_SDC2","MDK - SDC2","MK","Secreted Signaling","PMID: 28356350","STA"
"EC","Fibroblast","MDK","SDC2",0.000247883769322101,0,"MDK_SDC2","MDK - SDC2","MK","Secreted Signaling","PMID: 28356350","STA"
"EC","EC","MDK","ITGA6_ITGB1",0.000276985182767109,0,"MDK_ITGA6_ITGB1","MDK - (ITGA6+ITGB1)","MK","Secreted Signaling","PMID: 28356350","STA"
"EC","VSMC","MDK","LRP1",0.000348065527552541,0,"MDK_LRP1","MDK - LRP1","MK","Secreted Signaling","PMID: 28356350","STA"
"EC","Macrophage","MDK","LRP1",0.000114845012969615,0,"MDK_LRP1","MDK - LRP1","MK","Secreted Signaling","PMID: 28356350","STA"
"EC","Fibroblast","MDK","LRP1",0.000681281300819108,0,"MDK_LRP1","MDK - LRP1","MK","Secreted Signaling","PMID: 28356350","STA"
"EC","VSMC","MDK","NCL",0.000298033063879805,0,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350","STA"
"EC","Macrophage","MDK","NCL",0.000140600751212851,0,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350","STA"
"EC","EC","MDK","NCL",0.000386270962218618,0,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350","STA"
"EC","Fibroblast","MDK","NCL",0.000369026305358431,0,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350","STA"
"EC","T_NK","MDK","NCL",0.00038067245379614,0,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350","STA"
"VSMC","VSMC","POSTN","ITGAV_ITGB5",7.07488593737084e-05,0,"POSTN_ITGAV_ITGB5","POSTN - (ITGAV+ITGB5)","PERIOSTIN","Secreted Signaling","PMID: 26721738","STA"
"EC","VSMC","POSTN","ITGAV_ITGB5",0.000104831709653465,0,"POSTN_ITGAV_ITGB5","POSTN - (ITGAV+ITGB5)","PERIOSTIN","Secreted Signaling","PMID: 26721738","STA"
"VSMC","Fibroblast","POSTN","ITGAV_ITGB5",5.91196226787954e-05,0,"POSTN_ITGAV_ITGB5","POSTN - (ITGAV+ITGB5)","PERIOSTIN","Secreted Signaling","PMID: 26721738","STA"
"EC","Fibroblast","POSTN","ITGAV_ITGB5",8.76117303410223e-05,0,"POSTN_ITGAV_ITGB5","POSTN - (ITGAV+ITGB5)","PERIOSTIN","Secreted Signaling","PMID: 26721738","STA"
"VSMC","Macrophage","C3","C3AR1",0.000164488822331287,0,"C3_C3AR1","C3 - C3AR1","COMPLEMENT","Secreted Signaling","KEGG: hsa04080","STA"
"Fibroblast","Macrophage","C3","C3AR1",0.00132028022792026,0,"C3_C3AR1","C3 - C3AR1","COMPLEMENT","Secreted Signaling","KEGG: hsa04080","STA"
"VSMC","Macrophage","C3","ITGAM_ITGB2",0.000313872047827446,0,"C3_ITGAM_ITGB2","C3 - (ITGAM+ITGB2)","COMPLEMENT","Secreted Signaling","PMID: 16234578","STA"
