"tf","tf_group","NES","sample","status","vsmc_state","cells"
"ATF3","MCA-R2--Ruptured--inflammatory VSMC",-5.58983712212444,"MCA_R2","Ruptured","inflammatory VSMC",1078
"ATF3","MCA-R2--Ruptured--metabolic-stress VSMC",-5.75544507476823,"MCA_R2","Ruptured","metabolic-stress VSMC",77
"ATF3","MCA-R2--Ruptured--synthetic VSMC",-4.8965929570793,"MCA_R2","Ruptured","synthetic VSMC",29
"ATF3","STA1--STA--ECM-remodeling VSMC",-3.58074672696692,"STA1","STA","ECM-remodeling VSMC",637
"ATF3","STA1--STA--contractile VSMC",-3.62885883017492,"STA1","STA","contractile VSMC",1019
"ATF3","STA1--STA--inflammatory VSMC",-4.92819601814523,"STA1","STA","inflammatory VSMC",148
"ATF3","STA1--STA--metabolic-stress VSMC",-4.02285689650468,"STA1","STA","metabolic-stress VSMC",1432
"ATF3","STA1--STA--synthetic VSMC",-3.79458967445,"STA1","STA","synthetic VSMC",1049
"ATF3","STA2--STA--ECM-remodeling VSMC",-4.81642807086118,"STA2","STA","ECM-remodeling VSMC",459
"ATF3","STA2--STA--contractile VSMC",-4.4087932069938,"STA2","STA","contractile VSMC",989
"ATF3","STA2--STA--inflammatory VSMC",-5.36027585913347,"STA2","STA","inflammatory VSMC",378
"ATF3","STA2--STA--metabolic-stress VSMC",-4.53033655681754,"STA2","STA","metabolic-stress VSMC",943
"ATF3","STA2--STA--synthetic VSMC",-4.4413467322695,"STA2","STA","synthetic VSMC",1620
"ATF3","STA3--STA--contractile VSMC",-4.95819673711267,"STA3","STA","contractile VSMC",25
"ATF4","ACom-RR--Ruptured--contractile VSMC",3.91936432369662,"ACom_RR","Ruptured","contractile VSMC",32
"ATF4","ACom-RR--Ruptured--inflammatory VSMC",1.660798076983,"ACom_RR","Ruptured","inflammatory VSMC",945
"ATF4","ACom-RR--Ruptured--metabolic-stress VSMC",3.98921617713067,"ACom_RR","Ruptured","metabolic-stress VSMC",30
"ATF4","MCA-R1--Ruptured--inflammatory VSMC",0.438641404446341,"MCA_R1","Ruptured","inflammatory VSMC",534
"ATF4","MCA-R2--Ruptured--contractile VSMC",3.05352066336096,"MCA_R2","Ruptured","contractile VSMC",182
"ATF4","MCA-R2--Ruptured--inflammatory VSMC",1.83704220518555,"MCA_R2","Ruptured","inflammatory VSMC",1078
"ATF4","MCA-R2--Ruptured--metabolic-stress VSMC",3.23521983464136,"MCA_R2","Ruptured","metabolic-stress VSMC",77
"ATF4","MCA-R2--Ruptured--synthetic VSMC",2.36227929248676,"MCA_R2","Ruptured","synthetic VSMC",29
"ATF4","STA1--STA--ECM-remodeling VSMC",0.562495508554784,"STA1","STA","ECM-remodeling VSMC",637
"ATF4","STA1--STA--contractile VSMC",1.59704565238501,"STA1","STA","contractile VSMC",1019
"ATF4","STA1--STA--inflammatory VSMC",0.322598794890218,"STA1","STA","inflammatory VSMC",148
"ATF4","STA1--STA--metabolic-stress VSMC",1.82616874925866,"STA1","STA","metabolic-stress VSMC",1432
"ATF4","STA1--STA--synthetic VSMC",1.38494021927478,"STA1","STA","synthetic VSMC",1049
"ATF4","STA2--STA--ECM-remodeling VSMC",1.63530327513355,"STA2","STA","ECM-remodeling VSMC",459
"ATF4","STA2--STA--contractile VSMC",2.03117878673023,"STA2","STA","contractile VSMC",989
"ATF4","STA2--STA--inflammatory VSMC",1.5093016368417,"STA2","STA","inflammatory VSMC",378
"ATF4","STA2--STA--metabolic-stress VSMC",1.93207756853462,"STA2","STA","metabolic-stress VSMC",943
"ATF4","STA2--STA--synthetic VSMC",1.71664051118077,"STA2","STA","synthetic VSMC",1620
"ATF4","STA3--STA--contractile VSMC",2.601679026114,"STA3","STA","contractile VSMC",25
"ATF6","ACom-RR--Ruptured--contractile VSMC",3.68284938414313,"ACom_RR","Ruptured","contractile VSMC",32
"ATF6","ACom-RR--Ruptured--inflammatory VSMC",3.13563179189551,"ACom_RR","Ruptured","inflammatory VSMC",945
"ATF6","ACom-RR--Ruptured--metabolic-stress VSMC",4.2736422471425,"ACom_RR","Ruptured","metabolic-stress VSMC",30
"ATF6","MCA-R1--Ruptured--inflammatory VSMC",2.582832457813,"MCA_R1","Ruptured","inflammatory VSMC",534
"ATF6","MCA-R2--Ruptured--contractile VSMC",4.19300773097277,"MCA_R2","Ruptured","contractile VSMC",182
"ATF6","MCA-R2--Ruptured--inflammatory VSMC",3.0622271902451,"MCA_R2","Ruptured","inflammatory VSMC",1078
"ATF6","MCA-R2--Ruptured--metabolic-stress VSMC",4.07481561373476,"MCA_R2","Ruptured","metabolic-stress VSMC",77
"ATF6","MCA-R2--Ruptured--synthetic VSMC",3.48210797240499,"MCA_R2","Ruptured","synthetic VSMC",29
"ATF6","STA1--STA--ECM-remodeling VSMC",3.76336394533477,"STA1","STA","ECM-remodeling VSMC",637
"ATF6","STA1--STA--contractile VSMC",4.4478353875095,"STA1","STA","contractile VSMC",1019
"ATF6","STA1--STA--inflammatory VSMC",3.43837490967502,"STA1","STA","inflammatory VSMC",148
"ATF6","STA1--STA--metabolic-stress VSMC",4.72917864536624,"STA1","STA","metabolic-stress VSMC",1432
"ATF6","STA1--STA--synthetic VSMC",4.24563463174375,"STA1","STA","synthetic VSMC",1049
"ATF6","STA2--STA--ECM-remodeling VSMC",3.66998936993572,"STA2","STA","ECM-remodeling VSMC",459
"ATF6","STA2--STA--contractile VSMC",3.75444973166898,"STA2","STA","contractile VSMC",989
"ATF6","STA2--STA--inflammatory VSMC",3.39022472140928,"STA2","STA","inflammatory VSMC",378
"ATF6","STA2--STA--metabolic-stress VSMC",3.81670078903443,"STA2","STA","metabolic-stress VSMC",943
"ATF6","STA2--STA--synthetic VSMC",3.69400859193634,"STA2","STA","synthetic VSMC",1620
"ATF6","STA3--STA--contractile VSMC",3.8003584761407,"STA3","STA","contractile VSMC",25
"ATF7","ACom-RR--Ruptured--contractile VSMC",1.96212274875345,"ACom_RR","Ruptured","contractile VSMC",32
"ATF7","ACom-RR--Ruptured--inflammatory VSMC",3.69079151648764,"ACom_RR","Ruptured","inflammatory VSMC",945
"ATF7","ACom-RR--Ruptured--metabolic-stress VSMC",2.93450507722834,"ACom_RR","Ruptured","metabolic-stress VSMC",30
"ATF7","MCA-R1--Ruptured--inflammatory VSMC",4.11534816640717,"MCA_R1","Ruptured","inflammatory VSMC",534
"ATF7","MCA-R2--Ruptured--contractile VSMC",3.47526462839449,"MCA_R2","Ruptured","contractile VSMC",182
"ATF7","MCA-R2--Ruptured--inflammatory VSMC",3.49614529011845,"MCA_R2","Ruptured","inflammatory VSMC",1078
