"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00109111767601916,0.449906416259421,0.235,0.216,1,"contractile VSMC","LAPTM4B"
0.00111931487735433,0.579685719398163,0.327,0.292,1,"contractile VSMC","MRPL27"
0.00112379195531386,0.598276279143361,0.156,0.135,1,"contractile VSMC","TMEM47"
0.00112433300768896,0.338894319291296,0.471,0.431,1,"contractile VSMC","CCDC107"
0.00116429536214131,0.481723507795826,0.35,0.322,1,"contractile VSMC","GOLIM4"
0.00117208836315155,0.251636705026717,0.538,0.539,1,"contractile VSMC","SRSF9"
0.00118869458539931,0.890918326534322,0.116,0.085,1,"contractile VSMC","ETV1"
0.00120657902060921,0.380295608170026,0.541,0.502,1,"contractile VSMC","TOMM5"
0.00123864026003901,0.538553136368029,0.114,0.099,1,"contractile VSMC","TMEM99"
0.00124029816452585,0.340256005864,0.531,0.49,1,"contractile VSMC","TMED9"
0.00127027273499096,0.416222104953534,0.205,0.187,1,"contractile VSMC","FAM3A"
0.00127210116169126,0.603765243493473,0.215,0.179,1,"contractile VSMC","ZNF667-AS1"
0.00128184095580889,0.301359575338756,0.699,0.646,1,"contractile VSMC","ARF4"
0.00128498489337894,0.415926570507375,0.364,0.339,1,"contractile VSMC","CTTN"
0.00132168115816213,0.495363957586871,0.27,0.242,1,"contractile VSMC","CTSC"
0.00134509836986804,0.786886494847537,0.15,0.119,1,"contractile VSMC","FOXC1"
0.00136815547669094,0.359595617739298,0.434,0.404,1,"contractile VSMC","MIR100HG"
0.00137099815285382,0.288511864356101,0.446,0.423,1,"contractile VSMC","VPS29"
0.00137693063937619,0.759474337538936,0.104,0.079,1,"contractile VSMC","SNAI2"
0.00139051680066838,0.698161989445235,0.214,0.148,1,"contractile VSMC","PDGFD"
0.00139953224083806,0.573842880831494,0.241,0.213,1,"contractile VSMC","NAXE"
0.00140073140633425,0.519168763440009,0.323,0.245,1,"contractile VSMC","PTGFR"
0.00140781825630266,0.342682241735908,0.386,0.364,1,"contractile VSMC","BORCS7"
0.0014095109968681,0.291595832266822,0.459,0.43,1,"contractile VSMC","PYURF"
0.00143472149969122,0.595072445212408,0.259,0.216,1,"contractile VSMC","CXXC5"
0.00144093923620463,0.468774381677065,0.438,0.401,1,"contractile VSMC","IFITM1"
0.0014985669648913,0.388165497293886,0.386,0.355,1,"contractile VSMC","TIMM13"
0.00150194947683808,0.611662702982363,0.262,0.21,1,"contractile VSMC","CDO1"
0.00158055320447866,0.44142627599194,0.148,0.13,1,"contractile VSMC","FAHD2A"
0.00159759113287448,0.308117336391028,0.526,0.496,1,"contractile VSMC","BLOC1S1"
0.00160120109674703,0.561577800210675,0.183,0.155,1,"contractile VSMC","PHYHD1"
0.00160529487537784,0.709745576621013,0.119,0.088,1,"contractile VSMC","PLA2G5"
0.00160870916356127,0.399174098640561,0.446,0.407,1,"contractile VSMC","C18orf32"
0.00161251393898022,0.380762037472237,0.478,0.444,1,"contractile VSMC","TRAPPC5"
0.00162261038301827,0.32803178487747,0.41,0.381,1,"contractile VSMC","NDUFB5"
0.00164469063524135,0.346553257054894,0.498,0.469,1,"contractile VSMC","TPM4"
0.00166778203814373,0.417455922038711,0.404,0.359,1,"contractile VSMC","CCS"
0.00167911124652335,0.619204191375666,0.451,0.372,1,"contractile VSMC","IFI27L2"
0.0016835537860837,0.569758919880412,0.259,0.215,1,"contractile VSMC","HDGFL3"
0.00173899383977474,0.672454826546495,0.207,0.173,1,"contractile VSMC","TPBG"
0.00174049467653848,0.49979404940518,0.452,0.394,1,"contractile VSMC","TMEM256"
0.0017919252909511,0.667820371338157,0.169,0.143,1,"contractile VSMC","IFT22"
0.00179897136937974,0.264597684560874,0.207,0.232,1,"contractile VSMC","NFE2L1"
0.0018018671958729,0.789563839468951,0.105,0.08,1,"contractile VSMC","ALKAL2"
0.00184430016285964,0.328438415181567,0.348,0.329,1,"contractile VSMC","UBE2M"
0.001865670994202,0.436669226813067,0.281,0.247,1,"contractile VSMC","NAA10"
0.00189807030600999,0.590100184773477,0.171,0.142,1,"contractile VSMC","C8orf82"
0.00192724751432041,0.372555720183701,0.378,0.355,1,"contractile VSMC","THOC7"
0.00201508942617105,0.486692429824912,0.239,0.215,1,"contractile VSMC","CD40"
0.00202524828751925,0.494075531247336,0.249,0.223,1,"contractile VSMC","COA5"
0.00202682911726186,0.475173610364545,0.529,0.484,1,"contractile VSMC","MRPS21"
0.00203343074432157,0.512544758048091,0.263,0.232,1,"contractile VSMC","C1GALT1C1"
0.00209697868096237,0.407593103022226,0.429,0.391,1,"contractile VSMC","SERPINH1"
0.00212367860345431,0.486401880232998,0.227,0.191,1,"contractile VSMC","FAAP20"
0.00222550746275938,0.506908731121147,0.287,0.257,1,"contractile VSMC","DYNC2LI1"
0.00226432966346114,0.367762684372829,0.245,0.223,1,"contractile VSMC","TMEM91"
0.00227388442683556,0.627976621454884,0.259,0.222,1,"contractile VSMC","FKBP10"
0.00232289780843424,0.50714780634687,0.195,0.162,1,"contractile VSMC","SULT1A1"
0.00232763263878388,0.428583591393697,0.133,0.112,1,"contractile VSMC","OSMR-AS1"
0.00234475753656167,0.617907509451444,0.311,0.263,1,"contractile VSMC","CENPX"
0.0023709498985786,0.375269707675504,0.496,0.454,1,"contractile VSMC","NAA38"
0.00239016627619468,0.345017059578819,0.557,0.517,1,"contractile VSMC","CTSD"
0.00243657340732968,0.523971390184993,0.33,0.294,1,"contractile VSMC","MSRB2"
0.00245363694922749,0.850769555336016,0.103,0.069,1,"contractile VSMC","AL391807.1"
0.0024568291170944,0.33663703931439,0.455,0.438,1,"contractile VSMC","AURKAIP1"
0.00251496324157622,0.545476754469914,0.173,0.123,1,"contractile VSMC","AC079298.3"
0.00251594182536498,0.348205423294823,0.371,0.352,1,"contractile VSMC","PSMD4"
0.00254102584319286,0.512987206753239,0.222,0.197,1,"contractile VSMC","PEF1"
0.00259612711923589,0.778931842919753,0.159,0.12,1,"contractile VSMC","SCN1B"
0.00268807376303724,0.762825135170653,0.147,0.116,1,"contractile VSMC","ZNF358"
0.00268945125403698,0.300919112996754,0.279,0.244,1,"contractile VSMC","CCDC102B"
0.00274545376299185,0.398054898423496,0.239,0.222,1,"contractile VSMC","KXD1"
0.00277694060971766,0.311362217392231,0.24,0.227,1,"contractile VSMC","AKR1B1"
0.00280266372115584,0.692735913277399,0.287,0.241,1,"contractile VSMC","HSD17B10"
0.00283682637067791,0.491006682621838,0.102,0.088,1,"contractile VSMC","PTRH1"
0.00285802321440483,0.464451772874767,0.232,0.213,1,"contractile VSMC","RFNG"
0.00287208927786553,0.60206988971484,0.314,0.27,1,"contractile VSMC","KANK2"
0.00287232717708755,0.357719169450448,0.503,0.458,1,"contractile VSMC","SDHD"
0.00289960229865643,0.377018942046674,0.529,0.504,1,"contractile VSMC","PSMA2"
0.00292280356061284,0.391519215503039,0.474,0.446,1,"contractile VSMC","GTF2A2"
0.00292400275180655,0.258011330496215,0.331,0.314,1,"contractile VSMC","BAG1"
0.00293502418480875,0.348424398161777,0.368,0.342,1,"contractile VSMC","NDUFB3"
0.00297587321809283,0.412668846971436,0.293,0.266,1,"contractile VSMC","CDK2AP2"
0.00301235485357834,0.422166588638539,0.494,0.462,1,"contractile VSMC","CDKN1A"
0.00315141666888749,0.460005828119568,0.398,0.366,1,"contractile VSMC","CCT7"
0.00315993530420456,0.299028386708081,0.473,0.449,1,"contractile VSMC","RER1"
0.00316718478650745,0.550954274966831,0.259,0.225,1,"contractile VSMC","ST6GALNAC6"
0.0031700261509307,0.263357580912513,0.392,0.384,1,"contractile VSMC","TMED2"
0.00318395630912124,0.457468572372137,0.294,0.279,1,"contractile VSMC","SERPINB6"
0.00319309004365645,0.560073260112394,0.344,0.297,1,"contractile VSMC","FAM200B"
0.00321796979993615,0.709272677618855,0.202,0.182,1,"contractile VSMC","ZIC1"
0.00329600173356305,0.514804252046052,0.203,0.172,1,"contractile VSMC","MCUR1"
0.00331823057990129,0.720759952518808,0.204,0.164,1,"contractile VSMC","LMCD1"
0.00334034952700163,0.335694761433241,0.152,0.145,1,"contractile VSMC","WDR46"
0.00336799606191632,0.510945396414907,0.187,0.164,1,"contractile VSMC","SORBS3"
0.00336854577266082,0.64905343312452,0.143,0.116,1,"contractile VSMC","MFAP2"
0.00337654614272232,0.345664713798116,0.389,0.369,1,"contractile VSMC","NUCB1"
0.00339230953930614,0.263865900533862,0.602,0.569,1,"contractile VSMC","EIF1B"
0.00341142692111462,0.308278072725783,0.39,0.364,1,"contractile VSMC","ACADVL"
0.00343235965756394,0.678966576941686,0.304,0.248,1,"contractile VSMC","STEAP4"
0.00350172223385024,0.52326982473953,0.29,0.254,1,"contractile VSMC","GPAA1"
0.00360016817684332,0.476461424612878,0.279,0.243,1,"contractile VSMC","RBM42"
0.00363248469041408,0.982453132445458,0.131,0.09,1,"contractile VSMC","JAM2"
0.00365693358777231,0.297949274017548,0.276,0.265,1,"contractile VSMC","TMEM106B"
0.00368577210117801,0.446273977815147,0.232,0.201,1,"contractile VSMC","MED8"
0.00369364620349962,0.461375084250592,0.392,0.355,1,"contractile VSMC","TMEM208"
0.00372061287116485,0.394701082944694,0.253,0.236,1,"contractile VSMC","ANAPC13"
0.00373774771591936,0.512247605185773,0.406,0.361,1,"contractile VSMC","IER5L"
0.00376127258421577,0.371136222074629,0.399,0.37,1,"contractile VSMC","RRAGA"
0.00384086882262724,0.500662825663188,0.336,0.291,1,"contractile VSMC","HDDC2"
0.00386250481704886,0.544711714283529,0.375,0.335,1,"contractile VSMC","FAP"
0.00392145547311223,0.407453645226885,0.226,0.224,1,"contractile VSMC","FUCA2"
0.00397037764396645,0.275061565598952,0.331,0.335,1,"contractile VSMC","MLEC"
0.00400650348759875,0.406689388440543,0.195,0.182,1,"contractile VSMC","MRPS2"
0.00400991847347024,0.337365716921694,0.405,0.371,1,"contractile VSMC","FAM114A1"
0.00410414823792618,0.449259984774663,0.331,0.283,1,"contractile VSMC","TMEM176B"
0.00420498035204101,0.376803812057934,0.435,0.411,1,"contractile VSMC","POLR2K"
0.00422253394754374,0.764738665998663,0.128,0.112,1,"contractile VSMC","PFN2"
0.0043153914609893,0.430420553659763,0.198,0.188,1,"contractile VSMC","CERCAM"
0.00440134368736125,0.374373000694582,0.239,0.219,1,"contractile VSMC","SHARPIN"
0.00446669265647853,0.485319134552293,0.3,0.276,1,"contractile VSMC","TRAPPC2L"
0.00450000315615546,0.392081878653159,0.167,0.147,1,"contractile VSMC","C22orf39"
0.0045110918078819,0.39001137501994,0.359,0.334,1,"contractile VSMC","CKS1B"
0.00455487999341494,0.255809061636138,0.309,0.307,1,"contractile VSMC","SSNA1"
0.00457024111484373,0.608790611314446,0.292,0.247,1,"contractile VSMC","MOCS2"
0.00461216120918285,0.345068931464101,0.132,0.131,1,"contractile VSMC","SAYSD1"
0.00465229913667562,0.364242307572062,0.385,0.358,1,"contractile VSMC","ECHS1"
0.00472253766204552,0.257020010976051,0.401,0.381,1,"contractile VSMC","METTL7A"
0.00472739095362886,0.316352674120544,0.494,0.449,1,"contractile VSMC","MPZL1"
0.00473135717059649,0.298660997939699,0.519,0.494,1,"contractile VSMC","SSBP1"
0.00495134487049761,0.435662719824542,0.589,0.56,1,"contractile VSMC","POMP"
0.00507974238058241,0.32032281875656,0.499,0.473,1,"contractile VSMC","COX7A2L"
0.0051084612844268,0.485359794250093,0.256,0.222,1,"contractile VSMC","AK2"
0.00519995296218251,0.494483545351227,0.338,0.309,1,"contractile VSMC","SGCB"
0.00520700287290878,0.41223482135027,0.249,0.231,1,"contractile VSMC","BOD1"
0.00530620836503307,0.503376393796387,0.143,0.102,1,"contractile VSMC","HES4"
0.00531928212001106,0.990125824144879,0.19,0.158,1,"contractile VSMC","FMOD"
0.00546030051286105,0.579574421477736,0.216,0.178,1,"contractile VSMC","YIPF2"
0.0055129984317701,0.524343759859268,0.282,0.242,1,"contractile VSMC","ZNF32"
0.00562630096840018,0.324286647287025,0.531,0.495,1,"contractile VSMC","CALU"
0.00570560380969583,0.380096138427983,0.323,0.301,1,"contractile VSMC","MRPL32"
0.00571164656733756,0.42443181554533,0.279,0.255,1,"contractile VSMC","VAMP3"
0.00595023208927017,0.530963524636049,0.285,0.254,1,"contractile VSMC","UQCC2"
0.0059782693609722,0.344072360496794,0.318,0.291,1,"contractile VSMC","PEPD"
0.00618047034883114,0.325863504155006,0.572,0.542,1,"contractile VSMC","CHURC1"
0.00618374589951816,0.736888909879675,0.129,0.104,1,"contractile VSMC","CRABP1"
0.00623602863998301,0.406623220560009,0.275,0.25,1,"contractile VSMC","CYHR1"
0.00630157618474672,0.591249358763008,0.244,0.213,1,"contractile VSMC","CTDSPL"
0.00647289851645051,0.857919539364727,0.168,0.129,1,"contractile VSMC","ARHGAP42"
0.00652339188264392,0.510174919743886,0.261,0.237,1,"contractile VSMC","TNS2"
0.00654945029515259,0.657800893563079,0.131,0.108,1,"contractile VSMC","PRAF2"
0.00662489159536978,0.424890745123332,0.315,0.287,1,"contractile VSMC","SNX17"
0.00688362532970389,0.580242717667793,0.161,0.133,1,"contractile VSMC","UBL4A"
0.00696981593512877,0.471789233431044,0.12,0.107,1,"contractile VSMC","MRPL48"
0.0070264893544646,0.439363532781173,0.25,0.225,1,"contractile VSMC","HIC1"
0.00722535806165428,0.768841364836756,0.172,0.123,1,"contractile VSMC","GATA6"
0.00724608798552692,0.466535859619577,0.252,0.223,1,"contractile VSMC","ZC2HC1A"
0.00724689013845974,0.354016479891169,0.538,0.511,1,"contractile VSMC","YPEL3"
0.00726175615930103,0.881046172219619,0.109,0.068,1,"contractile VSMC","DYNC1I1"
0.0073679541763896,0.674175520520639,0.1,0.087,1,"contractile VSMC","NAB2"
0.00743822494777961,0.445234942502622,0.312,0.28,1,"contractile VSMC","AGTRAP"
0.00745986734475932,0.334420447212066,0.331,0.305,1,"contractile VSMC","MAGED2"
0.00752347653385623,0.946376533498596,0.116,0.08,1,"contractile VSMC","MIR497HG"
0.00753707722749912,0.392625075877521,0.329,0.293,1,"contractile VSMC","PUF60"
0.00760586289810103,0.39017569907413,0.226,0.204,1,"contractile VSMC","MDP1"
0.00768722874742582,0.640203524709392,0.112,0.09,1,"contractile VSMC","CFAP410"
0.00770069443360068,0.614682959414608,0.228,0.196,1,"contractile VSMC","TMEM141"
0.00776901770319248,0.347000703697546,0.358,0.334,1,"contractile VSMC","MRPS18C"
0.00783292229951018,0.369657963236591,0.553,0.507,1,"contractile VSMC","HMGN2"
0.00790518344039074,0.484927979414823,0.114,0.098,1,"contractile VSMC","BHLHE41"
0.00796213825374593,0.486178636136275,0.205,0.183,1,"contractile VSMC","KCTD12"
0.00803356811792725,0.29999261909289,0.263,0.254,1,"contractile VSMC","MAGEH1"
