"","ACom_RR","MCA_R1","MCA_R2","STA1","STA2","STA3"
"ZNF436-AS1",3,5,17,246,242,1
"AL109936.2",0,0,0,4,1,0
"TCEA3",34,8,24,1251,668,7
"ASAP3",12,2,11,1626,580,2
"E2F2",0,1,0,6,1,2
"AL021154.1",0,0,0,2,2,0
"ID3",642,143,1753,69778,17665,73
"AL450043.1",0,1,1,2,14,2
"MDS2",14,8,6,20,31,0
"RPL11",22711,6829,9947,62315,77209,362
"ELOA-AS1",80,43,52,505,338,7
"ELOA",137,79,82,1045,451,4
"PITHD1",445,250,209,2264,981,14
"LYPLA2",105,65,60,758,462,2
"GALE",21,15,21,84,67,0
"HMGCL",30,27,36,850,712,3
"FUCA1",50,33,34,669,244,3
"CNR2",1,8,0,3,1,0
"AL590609.3",0,0,0,0,0,0
"PNRC2",440,485,217,4425,3183,9
"SRSF10",811,814,600,4646,4728,15
"AL591178.1",0,0,0,2,8,0
"MYOM3",0,0,0,3,2,0
"IL22RA1",0,0,0,3,15,0
"IFNLR1",19,26,5,2,4,0
"LINC02800",0,0,0,1,0,0
"AL138902.1",0,0,0,4,0,0
"GRHL3",0,1,0,19,18,0
"STPG1",22,17,9,197,178,0
"NIPAL3",99,144,68,207,138,0
"RCAN3AS",117,144,87,23,31,0
"RCAN3",722,506,316,152,152,3
"NCMAP-DT",67,57,12,7,6,1
"NCMAP",19,10,6,1,0,0
"SRRM1",1244,897,806,6192,4565,37
"AL445648.1",4,0,0,0,0,0
"CLIC4",413,42,440,3987,4006,59
"RUNX3",1239,1204,463,52,252,3
"LINC02793",1,0,0,0,0,0
"AL050344.1",0,0,0,4,1,0
"AL031432.1",26,0,0,6,0,0
"SYF2",970,558,428,3920,3332,43
"AL031432.4",11,7,4,46,56,0
"AL031432.5",2,0,0,3,11,0
"RSRP1",3325,1338,1114,8545,4225,43
"AL031432.3",1,0,1,7,30,0
"RHD",354,187,163,152,40,2
"TMEM50A",1148,548,1038,7498,6260,20
"RHCE",65,165,11,91,98,5
"MACO1",664,490,262,1271,691,12
"LDLRAP1",77,83,45,265,181,2
"AL606491.1",7,7,16,38,12,0
"MAN1C1",269,208,113,1612,982,14
"AL031280.1",36,55,36,29,12,1
"SELENON",37,15,29,460,362,9
"AL020996.1",0,2,2,14,20,0
"MTFR1L",43,20,40,1042,555,4
"AUNIP",12,3,2,6,1,0
"AL033528.2",14,9,12,26,28,0
"PAQR7",22,5,10,80,36,3
"STMN1",541,105,98,212,337,8
"PAFAH2",6,18,13,103,56,1
"EXTL1",0,0,0,4,2,0
"SLC30A2",0,1,0,4,0,0
"TRIM63",1,0,0,4,0,0
"PDIK1L",29,17,12,343,129,0
"FAM110D",0,0,0,12,31,0
"AL391650.1",1,0,0,1,2,0
"ZNF593",158,30,87,2192,1139,3
"CNKSR1",2,1,2,30,8,0
"CATSPER4",0,0,0,2,0,0
"CEP85",35,31,16,128,36,2
"SH3BGRL3",3292,1042,1406,22640,15667,69
"UBXN11",47,23,44,291,183,2
"CD52",1131,315,281,392,230,6
"CRYBG2",6,2,9,5,4,0
"ZNF683",4,2,1,4,12,1
"LIN28A",0,0,0,2,0,0
"DHDDS",70,55,44,671,344,3
"AL513365.2",3,6,6,21,5,2
"HMGN2",679,467,360,5286,4050,39
"RPS6KA1",74,39,41,56,26,1
"AL512408.1",1,3,0,4,10,0
"ARID1A",501,363,153,1461,638,14
"PIGV",26,17,9,338,245,1
"ZDHHC18",143,88,78,289,169,5
"SFN",3,1,2,278,9,0
"GPN2",108,90,48,361,225,4
"GPATCH3",74,37,32,133,98,1
"NUDC",578,338,360,4656,2375,26
"KDF1",5,5,2,9,0,2
"TRNP1",12,0,6,93,88,5
"TENT5B",6,2,0,32,49,1
"SLC9A1",261,116,107,341,258,18
"AL590640.1",0,0,0,1,0,0
"WDTC1",230,152,62,543,352,6
"TMEM222",98,62,53,1541,1037,5
"SYTL1",80,44,52,52,55,3
"MAP3K6",10,7,19,490,209,3
"FCN3",2,0,0,11,2,0
"GPR3",2,0,1,3,2,0
"WASF2",582,432,464,7957,5700,27
"FO393419.2",7,5,4,9,1,0
"BX293535.1",4,1,2,7,7,0
"AHDC1",92,55,70,1376,346,11
"FGR",43,12,5,15,35,3
"LINC02574",1,0,1,3,1,1
"IFI6",363,471,427,1633,806,43
"AL445490.1",2,6,4,7,2,0
"AL020997.5",6,1,1,38,89,0
"FAM76A",119,63,81,775,437,11
"STX12",356,203,214,2059,1206,7
"AL020997.2",0,0,4,20,7,0
"AL020997.3",0,0,0,16,9,0
"AL020997.4",5,6,3,9,16,0
"PPP1R8",70,40,34,530,185,2
"THEMIS2",70,28,21,7,29,2
"RPA2",181,90,61,2039,929,7
"SMPDL3B",7,2,1,2,2,0
"AL512288.1",7,2,0,7,11,0
"XKR8",26,11,6,202,137,2
"EYA3",201,158,104,785,343,3
"PTAFR",27,9,9,15,15,0
"DNAJC8",571,379,292,4556,3495,21
"ATP5IF1",530,464,554,4352,5945,22
"AL353622.1",7,8,4,9,7,0
"AL353622.2",0,1,0,3,4,0
"SESN2",148,118,66,923,359,7
"MED18",39,19,14,338,177,1
"PHACTR4",422,367,198,1188,838,9
"RCC1",275,87,37,262,98,8
"SNHG3",175,85,55,424,160,4
"TRNAU1AP",193,133,96,908,650,19
"SNHG12",601,254,355,1314,665,20
"TAF12",151,113,87,2048,1366,4
"RAB42",1,0,3,56,26,0
"LINC01715",6,6,10,128,157,1
"AL360012.1",22,35,6,52,53,1
"GMEB1",90,74,40,390,218,4
"YTHDF2",373,249,138,2360,935,13
"OPRD1",1,1,0,1,0,0
"AL009181.1",0,0,0,0,0,0
"EPB41",1860,1224,474,264,288,3
"TMEM200B",5,0,7,322,151,1
