"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"STK11",0.0867249919676771,4.34379156330849,0.280838458173358,0.785291659881543,0.838446629421278,-6.79427614663978
"FAM98B",-0.0878532753714039,4.16801397939519,-0.28034555221717,0.785657685948037,0.838775040840321,-6.78397750980178
"UBE2F",0.0728265685996323,4.91957769189196,0.279655908578656,0.786169900705066,0.839259464132122,-6.83792232208762
"UBE2V1",-0.0929594067111452,6.5476107990374,-0.278702722215763,0.786878034313057,0.839952948949923,-6.84726449118825
"SKP1",-0.121135780653715,8.75126281120675,-0.278154520787722,0.787285393813564,0.84032529318857,-6.84762619857005
"KIAA0100",0.0753502727427167,4.82624234033897,0.277020110337486,0.788128573175206,0.841162728779605,-6.83024921640769
"BRMS1L",0.113124302079185,5.4533819215409,0.276635639269231,0.788414407461285,0.841405234550133,-6.83652611415655
"TWNK",0.183625717803382,1.45586754414543,0.273991486544915,0.790381104335435,0.843441407451553,-6.31541689443031
"PALM2-AKAP2",-0.20683748697505,5.5122298738065,-0.275492264091382,0.790784453763639,0.843809102685346,-6.83918140057646
"TCEANC",0.138062491854217,1.77108379609458,0.273305475456563,0.790891610748732,0.84386071364657,-6.38883617002332
"TMA7",-0.127756827950714,8.79880290886383,-0.273139129465298,0.79101541577375,0.843910692186078,-6.84868067688769
"LSG1",-0.0827569161508075,4.82570499419098,-0.273084551318053,0.791056037575845,0.843910692186078,-6.82706634385801
"IDNK",-0.0864239962939148,3.47585672634228,-0.271862737459931,0.791965592376741,0.84477508817378,-6.68526182620047
"NTMT1",-0.0907554024137696,5.31863552569156,-0.271838012559489,0.791984001780309,0.84477508817378,-6.84640081439501
"ING5",0.0835640409623366,5.0816514426719,0.271739479916503,0.792057367524887,0.844790567205545,-6.84278342856926
"MEAK7",-0.0916802174101172,3.17460182678252,-0.271388937311019,0.792318393212763,0.845006182939,-6.62859234256609
"IFITM1",-0.360022132886018,6.13040179839658,-0.275923771420089,0.792480851578362,0.845116652567296,-6.84690039706667
"METTL22",-0.117267229623445,2.6595063028826,-0.271040653036499,0.792577764420495,0.845157211982154,-6.58479114696267
"ATAD1",-0.0969170988416375,5.67472377772101,-0.270421485116013,0.793038932436987,0.84556734559207,-6.84628104299497
"CDC25B",-0.0931170969430566,3.7779860949137,-0.270366086131939,0.793080198809115,0.84556734559207,-6.75445567679848
"ALDH1A3",0.350320111446014,0.928695531985069,0.270474035921413,0.793199097283715,0.8456313014268,-6.17104544376625
"LINC01002",0.207738969402279,1.17594253472093,0.269847190789519,0.793466753957427,0.845841918813027,-6.21108273562515
"POT1",-0.0816631005972579,3.79232686257889,-0.269783090454448,0.793514510153005,0.845841918813027,-6.7443755559998
"AC011444.3",-0.217934397656913,1.77676196531029,-0.269550723424913,0.793687636473174,0.845930095489829,-6.2918727571122
"ZNF865",0.133288238655354,2.17435819307085,0.269513865659211,0.793715098652433,0.845930095489829,-6.42575063094319
"GADD45A",-0.102022990348396,6.9872836279247,-0.269103615844993,0.79402079008006,0.846193067102917,-6.85055467444358
"KIAA1549L",-0.314075976279341,1.1413312027113,-0.268349799289061,0.794617093163671,0.846716511369727,-6.16105120811054
"AS3MT",-0.154775725906655,2.03307751855817,-0.268286265079562,0.794629937624467,0.846716511369727,-6.43637608818322
"AC104123.1",-0.10085105196541,3.291076193428,-0.268112786583885,0.794759245045679,0.846791434336823,-6.64958706808284
"FRG1-DT",-0.229660325110863,1.13863430134687,-0.267976338103944,0.794860955695187,0.846822143533585,-6.16358895246248
"HSDL1",-0.0925574461249599,3.04744863013077,-0.267915833000997,0.794906058378955,0.846822143533585,-6.62639942828199
"TMEM87A",0.0906548257374666,6.8026222355899,0.267651254521067,0.795103294191345,0.846969401471062,-6.85042819760331
"RFX2",-0.230507925252208,6.15568729645933,-0.269842684878512,0.795254361403558,0.847067460936974,-6.84350913117563
"LONRF3",0.101211980828949,5.02036041720901,0.266735275042485,0.795786250147928,0.847571108898372,-6.83251145797815
"LINC01560",-0.187428901311503,1.25610045811753,-0.266357154146135,0.796068231538746,0.847808532089862,-6.24543508937834
"AP000317.1",-0.276707611681756,0.826701322648583,-0.265993295890451,0.796339606259612,0.848034624842382,-6.09705873932093
"THBD",-0.3570370273805,4.50952215192394,-0.270394778281865,0.796603918015453,0.848253163144941,-6.78079279162846
"RDH10",-0.289686183083393,4.71489631370327,-0.268723823356397,0.797065297582792,0.848681498516682,-6.79456492893541
"EIF1B",0.10783410028628,7.38233997300689,0.264554346904237,0.797413094732628,0.848988841551116,-6.84730848539201
"HIST2H2AA4",-0.458009853909104,1.56676550621587,-0.26626795663864,0.797854165198128,0.849395437755242,-6.29281080436757
"LRRC37A3",0.152303252038565,3.5315497095267,0.264052961437774,0.797956841560296,0.849441746051356,-6.69976084961983
"AL354892.1",-0.174416519310305,1.7957996064766,-0.263551764694797,0.798161310666321,0.849596399948415,-6.31422591411024
"MAST2",0.0757858868194887,4.82964626850526,0.263260018042854,0.798379078993582,0.849765186109586,-6.83406523761214
"VDAC1",-0.107893274574844,6.92341368750449,-0.262736296413122,0.798770046634585,0.850118280521452,-6.85216433264683
"RNF130",-0.0886158480522417,6.50360056805162,-0.262620038795725,0.798856843105338,0.850147622029509,-6.85136995559165
"GCHFR",0.152144823295679,5.40975949203097,0.263318239193388,0.798952915127321,0.850186829545375,-6.85120208224991
